epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
8.93,9.82,13.39,23.66,38.39,38.84,45.98,48.66,48.21,44.64,54.91,53.12,51.34,50.45,54.02,54.91,57.59,55.8,56.25,55.8,57.14,55.8,58.93,60.71,58.93,60.71,58.93,55.8,58.48,61.16,59.38,59.38,57.14,59.38,58.04,60.27,61.61,59.82,62.95,63.84,61.61,62.95,61.61,65.18,64.29,62.05,60.27,59.82,62.5,62.05,62.05,61.61,58.93,61.16,63.39,63.84,62.95,63.39,61.16,61.16,61.61,65.18,66.07,62.5,60.71,60.27,63.39,63.39,61.16,63.39,63.39,64.29,63.84,65.18,65.18,65.18,65.62,63.84,62.95,62.05,65.62,65.18,64.73,65.62,64.29,65.62,65.62,62.95,62.05,65.18,62.95,65.18,65.18,64.73,65.18,66.07,65.62,62.95,63.84,66.52
12.11,8.42,16.84,23.68,39.47,34.74,53.16,62.11,52.63,54.21,50.0,59.47,61.05,55.26,64.74,59.47,66.32,60.0,65.26,58.42,71.05,66.84,68.42,74.21,62.63,73.16,73.16,70.0,68.95,74.21,71.58,71.58,71.05,75.79,73.68,77.89,74.21,74.21,75.79,77.89,77.37,77.37,78.42,80.0,76.84,76.32,75.79,78.95,80.53,80.0,79.47,75.79,76.84,78.42,75.26,78.95,80.53,73.16,80.53,77.37,77.89,78.95,78.42,77.37,80.0,80.53,78.42,78.42,76.32,77.89,77.89,77.37,78.42,77.89,75.26,77.37,80.53,78.95,76.32,78.42,79.47,80.53,81.05,80.0,76.84,78.42,80.0,78.42,77.89,77.89,79.47,79.47,77.89,78.42,81.05,78.42,79.47,79.47,79.47,80.0
10.34,8.62,8.62,17.24,25.86,20.69,29.31,24.14,34.48,29.31,34.48,34.48,32.76,29.31,32.76,29.31,24.14,31.03,34.48,39.66,27.59,41.38,34.48,25.86,27.59,37.93,32.76,31.03,41.38,34.48,34.48,31.03,34.48,31.03,32.76,29.31,43.1,39.66,41.38,41.38,37.93,34.48,34.48,55.17,43.1,43.1,43.1,32.76,43.1,39.66,41.38,41.38,39.66,37.93,36.21,44.83,51.72,44.83,41.38,39.66,36.21,51.72,41.38,31.03,37.93,39.66,48.28,41.38,46.55,48.28,46.55,53.45,41.38,41.38,44.83,48.28,46.55,43.1,50.0,43.1,43.1,46.55,48.28,46.55,50.0,50.0,48.28,53.45,43.1,43.1,44.83,41.38,41.38,34.48,46.55,43.1,39.66,43.1,43.1,39.66
6.67,13.33,13.33,13.33,20.0,23.33,20.0,33.33,20.0,30.0,33.33,33.33,30.0,40.0,33.33,40.0,36.67,46.67,30.0,36.67,33.33,46.67,30.0,40.0,43.33,36.67,30.0,36.67,30.0,36.67,40.0,36.67,30.0,36.67,36.67,43.33,36.67,43.33,46.67,26.67,33.33,40.0,40.0,40.0,40.0,36.67,50.0,40.0,43.33,43.33,40.0,30.0,30.0,40.0,40.0,33.33,40.0,40.0,43.33,43.33,40.0,46.67,46.67,40.0,46.67,46.67,40.0,40.0,36.67,33.33,43.33,43.33,36.67,46.67,46.67,46.67,40.0,43.33,46.67,40.0,40.0,36.67,43.33,36.67,46.67,40.0,36.67,40.0,40.0,46.67,40.0,40.0,36.67,33.33,36.67,46.67,43.33,43.33,43.33,43.33
