epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
8.93,9.82,11.61,30.36,35.27,40.62,45.98,44.64,45.09,45.98,47.32,48.66,52.68,50.45,52.68,54.46,53.12,52.68,55.8,51.79,58.48,58.48,55.36,56.7,56.25,57.59,57.59,58.48,58.93,57.59,58.93,57.14,58.04,59.38,58.48,60.27,59.82,56.7,58.48,61.16,58.04,59.82,61.16,60.27,54.46,59.82,63.39,58.04,59.38,59.82,58.48,62.95,59.82,60.27,61.61,60.27,61.61,61.16,60.27,60.71,60.71,60.27,63.39,59.82,62.95,62.5,62.95,60.27,61.61,62.05,61.61,63.84,63.39,62.5,61.61,61.61,62.05,63.84,64.29,60.71,61.61,63.84,65.62,65.62,64.73,60.71,62.5,64.73,65.18,65.18,63.39,62.5,64.73,60.71,63.39,64.73,67.41,65.18,67.41,65.18
8.42,8.42,18.42,28.95,38.95,47.89,55.26,51.58,55.26,57.89,54.21,62.63,59.47,57.89,63.68,64.21,64.21,67.89,63.68,62.11,71.05,66.84,64.21,61.58,70.0,62.63,75.79,67.89,68.42,68.42,73.68,73.68,73.16,72.63,77.37,74.74,74.74,74.74,74.74,73.68,76.32,73.68,78.95,73.68,75.79,77.37,77.37,75.79,77.89,78.95,77.37,79.47,79.47,77.37,74.21,74.21,79.47,78.42,83.16,77.37,77.37,77.37,75.79,80.0,82.11,78.95,79.47,80.0,78.42,79.47,80.0,82.11,78.42,77.89,80.0,79.47,80.0,78.95,81.05,75.26,80.53,80.0,79.47,78.95,78.95,75.26,82.11,81.05,80.0,77.37,81.58,81.05,82.63,78.42,80.0,78.95,80.53,78.42,78.42,79.47
8.62,8.62,8.62,13.79,22.41,22.41,18.97,18.97,31.03,29.31,24.14,34.48,36.21,36.21,39.66,20.69,37.93,39.66,25.86,46.55,34.48,43.1,36.21,37.93,34.48,31.03,41.38,25.86,37.93,34.48,41.38,43.1,34.48,36.21,48.28,34.48,41.38,37.93,50.0,37.93,37.93,46.55,36.21,41.38,27.59,41.38,36.21,43.1,41.38,46.55,32.76,48.28,36.21,44.83,44.83,51.72,46.55,43.1,48.28,37.93,43.1,48.28,55.17,37.93,50.0,43.1,37.93,46.55,39.66,46.55,46.55,44.83,36.21,46.55,46.55,41.38,53.45,46.55,41.38,51.72,51.72,51.72,51.72,43.1,53.45,41.38,43.1,51.72,46.55,41.38,43.1,46.55,48.28,41.38,44.83,53.45,46.55,44.83,55.17,48.28
13.33,13.33,13.33,33.33,23.33,20.0,20.0,16.67,30.0,23.33,26.67,30.0,20.0,40.0,30.0,36.67,26.67,36.67,30.0,36.67,23.33,43.33,40.0,36.67,36.67,36.67,36.67,36.67,43.33,40.0,33.33,30.0,30.0,30.0,40.0,33.33,50.0,33.33,40.0,33.33,40.0,43.33,43.33,40.0,36.67,50.0,40.0,36.67,36.67,33.33,36.67,40.0,30.0,43.33,40.0,46.67,46.67,46.67,40.0,36.67,33.33,36.67,36.67,30.0,40.0,33.33,36.67,33.33,33.33,40.0,43.33,40.0,33.33,36.67,43.33,36.67,43.33,43.33,36.67,36.67,46.67,40.0,40.0,40.0,43.33,40.0,43.33,43.33,43.33,40.0,40.0,40.0,43.33,40.0,40.0,40.0,43.33,46.67,43.33,43.33
