epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
9.82,9.82,11.16,33.04,38.39,42.41,40.62,45.09,47.32,47.77,50.45,45.54,50.0,54.02,50.45,52.68,52.23,55.36,56.25,56.25,57.59,55.36,58.48,57.59,58.04,56.7,58.04,58.48,62.05,58.04,58.48,60.27,54.91,60.27,61.61,57.59,62.5,58.93,62.05,58.04,59.82,58.04,60.71,62.95,59.38,60.71,63.39,60.27,62.95,66.96,62.95,62.5,60.27,62.95,59.38,59.38,57.14,62.5,62.5,61.61,62.05,65.18,63.84,62.95,65.18,63.84,62.5,65.18,63.84,60.27,67.41,63.84,65.18,62.95,62.05,64.29,62.5,64.73,67.41,61.61,64.73,62.95,62.5,64.29,66.52,66.52,64.73,62.95,65.62,65.62,64.73,60.27,65.62,63.39,62.95,63.84,63.84,64.73,65.18,66.07
8.42,8.42,22.11,42.11,38.95,39.47,46.32,44.74,56.84,58.95,54.21,54.21,67.37,62.11,58.42,61.58,62.63,58.95,58.42,61.58,60.0,53.68,60.0,72.11,64.21,53.68,72.11,65.79,70.53,68.42,72.11,65.26,74.74,71.05,64.74,75.26,80.0,73.68,69.47,77.89,70.0,75.79,74.21,71.58,75.26,72.11,77.37,74.21,70.53,80.0,78.95,78.42,74.74,77.37,74.74,76.32,74.74,80.0,78.42,81.58,78.95,75.79,78.42,77.89,75.79,77.89,79.47,77.89,80.53,80.0,82.63,81.58,80.53,81.58,79.47,80.0,80.0,81.58,77.89,78.42,82.11,80.0,77.37,79.47,80.53,78.95,78.95,77.89,83.16,82.11,79.47,75.79,80.0,81.58,81.58,78.42,78.42,81.58,78.42,76.32
8.62,8.62,8.62,10.34,20.69,22.41,12.07,22.41,24.14,22.41,36.21,27.59,27.59,32.76,36.21,25.86,25.86,31.03,34.48,29.31,29.31,29.31,24.14,34.48,32.76,25.86,17.24,41.38,24.14,20.69,32.76,34.48,34.48,29.31,32.76,25.86,31.03,27.59,37.93,17.24,29.31,22.41,29.31,25.86,31.03,25.86,31.03,31.03,34.48,41.38,32.76,29.31,34.48,31.03,25.86,29.31,31.03,27.59,34.48,27.59,37.93,37.93,37.93,43.1,36.21,32.76,27.59,36.21,36.21,29.31,34.48,41.38,41.38,31.03,31.03,39.66,39.66,36.21,39.66,32.76,37.93,27.59,29.31,34.48,36.21,34.48,32.76,34.48,36.21,36.21,36.21,41.38,41.38,37.93,36.21,39.66,37.93,43.1,39.66,41.38
13.33,13.33,13.33,23.33,23.33,20.0,16.67,23.33,36.67,30.0,26.67,43.33,33.33,36.67,33.33,33.33,40.0,36.67,33.33,33.33,33.33,30.0,36.67,40.0,33.33,46.67,36.67,36.67,40.0,36.67,33.33,40.0,40.0,50.0,43.33,33.33,40.0,36.67,46.67,36.67,53.33,33.33,43.33,50.0,40.0,36.67,46.67,36.67,43.33,50.0,40.0,36.67,40.0,36.67,36.67,43.33,36.67,33.33,40.0,40.0,40.0,46.67,36.67,50.0,36.67,36.67,40.0,46.67,33.33,33.33,43.33,50.0,36.67,43.33,40.0,46.67,50.0,43.33,53.33,36.67,50.0,36.67,46.67,36.67,53.33,40.0,40.0,53.33,46.67,40.0,46.67,43.33,50.0,40.0,40.0,40.0,46.67,36.67,40.0,46.67
