epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
7.59,9.82,9.82,29.46,37.5,40.18,42.86,45.98,48.21,47.32,50.0,48.66,53.12,51.34,52.23,51.34,50.45,54.46,57.59,57.14,53.57,55.8,56.7,55.8,57.59,57.14,56.25,52.23,57.14,59.38,54.91,57.59,59.38,57.59,55.8,57.59,59.82,55.36,59.38,58.48,58.93,58.04,57.59,55.36,56.25,58.04,57.14,57.14,58.04,58.48,55.8,59.38,57.14,61.16,60.27,61.61,56.25,58.93,59.38,57.14,59.82,58.48,60.71,60.71,59.82,60.71,59.82,58.48,58.93,59.82,59.38,61.16,62.05,58.93,62.5,58.93,62.5,62.05,62.5,60.71,64.29,58.93,59.38,61.16,62.5,58.93,60.27,62.95,59.82,62.95,62.05,62.05,64.73,62.5,62.5,63.84,61.61,62.05,62.5,64.73
8.42,8.42,10.53,27.89,43.68,33.68,46.32,47.37,60.0,50.0,50.53,57.89,58.95,70.53,54.74,61.58,68.95,62.63,67.89,68.95,64.74,71.05,74.21,71.58,72.63,71.05,69.47,65.26,72.11,66.84,75.79,73.16,73.68,73.16,71.58,73.16,64.74,74.21,74.21,75.26,70.0,73.68,73.68,77.89,74.74,78.42,78.42,73.68,76.84,78.95,74.74,77.89,76.32,75.26,74.21,78.95,75.26,81.05,76.84,71.58,79.47,75.26,77.37,75.26,79.47,75.79,77.89,78.42,76.32,80.53,80.0,73.68,77.37,78.95,77.89,78.95,78.95,78.95,74.21,78.42,76.84,80.53,78.42,80.0,78.95,79.47,79.47,79.47,80.0,78.95,80.0,77.89,80.53,75.26,78.42,79.47,76.84,80.0,80.53,75.26
6.9,8.62,8.62,13.79,22.41,25.86,18.97,22.41,20.69,25.86,27.59,31.03,29.31,29.31,34.48,31.03,24.14,31.03,34.48,36.21,41.38,31.03,32.76,37.93,31.03,36.21,25.86,32.76,27.59,37.93,27.59,27.59,31.03,37.93,29.31,31.03,46.55,36.21,37.93,37.93,46.55,41.38,41.38,41.38,29.31,50.0,39.66,48.28,43.1,43.1,44.83,41.38,37.93,41.38,44.83,41.38,48.28,50.0,50.0,53.45,43.1,48.28,50.0,44.83,39.66,39.66,51.72,43.1,50.0,50.0,48.28,50.0,46.55,46.55,53.45,48.28,51.72,43.1,46.55,43.1,37.93,44.83,48.28,48.28,51.72,46.55,51.72,48.28,43.1,50.0,48.28,48.28,44.83,46.55,43.1,46.55,50.0,51.72,53.45,46.55
13.33,13.33,13.33,26.67,20.0,23.33,36.67,30.0,26.67,23.33,30.0,23.33,33.33,30.0,33.33,40.0,30.0,40.0,33.33,36.67,30.0,40.0,36.67,33.33,40.0,50.0,30.0,40.0,43.33,36.67,33.33,36.67,40.0,46.67,43.33,36.67,43.33,30.0,40.0,46.67,43.33,43.33,50.0,46.67,43.33,40.0,36.67,50.0,46.67,40.0,43.33,46.67,43.33,50.0,46.67,50.0,50.0,43.33,53.33,50.0,46.67,43.33,46.67,56.67,40.0,43.33,50.0,43.33,50.0,46.67,36.67,53.33,50.0,50.0,53.33,56.67,50.0,56.67,53.33,43.33,53.33,40.0,53.33,46.67,46.67,36.67,56.67,53.33,46.67,50.0,50.0,50.0,46.67,46.67,46.67,43.33,50.0,50.0,56.67,50.0
