epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
9.82,9.82,10.71,29.46,37.5,37.95,42.86,45.98,44.2,46.88,50.89,49.55,52.23,52.68,50.89,55.36,53.12,52.23,53.57,54.02,54.91,55.36,57.59,55.8,53.12,55.8,59.38,58.04,55.8,55.36,63.39,54.91,58.04,58.48,60.27,60.27,62.05,57.59,61.61,59.38,60.27,56.25,62.95,60.71,58.93,58.48,58.48,59.82,63.84,61.61,59.82,61.16,58.04,60.71,65.18,62.05,61.61,61.61,61.61,60.71,62.05,60.27,62.5,64.29,64.29,64.73,63.39,62.5,62.05,62.5,65.18,62.5,64.29,63.39,65.62,65.18,66.96,63.39,64.73,65.62,64.73,64.29,63.84,59.38,62.05,62.05,65.18,65.18,65.18,65.62,64.29,64.73,65.18,66.96,65.18,67.86,66.96,68.3,63.84,66.96
8.42,8.42,18.95,32.63,33.16,43.68,50.53,62.63,56.32,55.79,57.89,65.26,58.95,65.79,62.63,65.79,62.11,67.37,60.0,73.16,62.11,64.21,68.95,76.32,69.47,65.26,66.84,77.37,75.26,67.89,77.37,74.21,75.79,73.68,76.84,76.32,77.89,72.11,72.11,74.21,76.32,76.32,75.26,80.0,76.84,76.32,79.47,75.26,79.47,76.32,76.84,76.32,76.84,77.37,80.53,80.53,78.42,81.58,78.95,81.58,80.53,80.53,78.95,81.58,79.47,80.0,79.47,78.42,80.0,79.47,78.95,79.47,78.95,78.42,78.95,81.58,77.89,77.89,80.53,81.58,80.53,81.05,79.47,80.0,81.05,76.32,81.05,78.42,79.47,80.53,82.11,80.0,81.58,81.05,81.58,81.58,81.05,82.11,80.53,80.0
8.62,8.62,8.62,17.24,27.59,25.86,25.86,31.03,29.31,29.31,31.03,34.48,36.21,29.31,37.93,31.03,29.31,32.76,32.76,29.31,37.93,22.41,32.76,27.59,34.48,32.76,39.66,27.59,31.03,39.66,29.31,22.41,25.86,34.48,46.55,31.03,44.83,32.76,43.1,37.93,43.1,37.93,39.66,34.48,37.93,44.83,37.93,31.03,43.1,31.03,41.38,24.14,43.1,39.66,41.38,37.93,36.21,36.21,36.21,34.48,41.38,39.66,34.48,39.66,44.83,43.1,34.48,36.21,37.93,39.66,41.38,48.28,41.38,37.93,41.38,48.28,48.28,41.38,46.55,50.0,48.28,41.38,39.66,41.38,43.1,51.72,46.55,44.83,48.28,50.0,51.72,44.83,39.66,48.28,44.83,44.83,46.55,48.28,43.1,44.83
13.33,13.33,13.33,30.0,13.33,16.67,36.67,23.33,20.0,20.0,20.0,30.0,26.67,33.33,20.0,30.0,36.67,33.33,40.0,30.0,33.33,40.0,26.67,36.67,23.33,40.0,33.33,30.0,33.33,36.67,33.33,36.67,40.0,43.33,43.33,43.33,50.0,43.33,40.0,36.67,43.33,26.67,30.0,43.33,46.67,36.67,36.67,30.0,40.0,43.33,40.0,43.33,40.0,43.33,40.0,46.67,50.0,36.67,40.0,33.33,36.67,46.67,43.33,43.33,43.33,46.67,46.67,43.33,46.67,40.0,40.0,50.0,46.67,46.67,53.33,50.0,50.0,46.67,43.33,50.0,43.33,46.67,36.67,43.33,50.0,50.0,46.67,50.0,46.67,53.33,40.0,50.0,50.0,53.33,46.67,53.33,53.33,50.0,56.67,53.33
