epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
7.14,9.82,10.71,35.27,39.29,44.64,44.2,48.21,44.2,45.98,46.43,52.23,54.02,50.45,54.91,52.23,58.04,54.91,58.48,55.36,57.59,58.04,58.48,59.38,57.14,54.46,58.04,58.48,55.36,60.27,58.93,60.27,58.93,61.16,58.93,62.95,63.84,58.48,61.16,58.48,59.38,58.48,58.48,60.27,62.95,62.5,60.71,59.82,65.18,62.5,58.48,62.95,60.71,61.16,59.82,60.27,62.5,60.27,60.71,60.71,65.18,63.39,59.82,62.05,61.16,61.61,63.39,63.39,61.16,62.05,62.5,60.27,64.73,64.29,63.84,63.39,65.18,62.5,65.62,61.61,66.96,64.29,62.05,63.39,64.73,64.73,62.95,62.5,62.05,63.39,63.84,64.29,62.95,60.71,64.73,65.62,62.95,62.95,61.61,62.5
7.37,8.42,19.47,38.95,37.37,42.63,50.0,54.74,59.47,58.95,62.11,58.95,61.05,64.21,66.84,55.79,70.0,68.42,65.79,61.05,71.58,66.84,77.37,68.42,68.95,65.79,71.58,68.42,74.21,72.63,73.68,70.0,75.79,71.58,76.32,73.68,66.84,69.47,78.95,75.79,75.79,69.47,76.32,77.37,75.26,76.84,73.16,75.79,71.05,75.26,70.53,72.63,77.89,75.26,75.26,74.21,75.26,73.68,76.84,74.21,79.47,74.21,74.21,74.74,80.0,81.58,75.79,78.95,81.58,76.32,74.74,81.05,75.79,78.95,80.0,80.0,78.42,79.47,77.89,76.84,79.47,74.21,80.53,76.84,77.89,78.95,75.79,77.89,80.0,77.37,80.0,75.26,80.0,76.32,80.0,77.37,77.37,79.47,79.47,78.42
13.79,8.62,8.62,20.69,20.69,27.59,24.14,22.41,32.76,22.41,32.76,31.03,24.14,31.03,39.66,31.03,43.1,41.38,51.72,36.21,32.76,44.83,37.93,43.1,46.55,36.21,46.55,44.83,37.93,37.93,48.28,46.55,34.48,44.83,37.93,39.66,34.48,32.76,36.21,37.93,37.93,37.93,48.28,36.21,44.83,37.93,36.21,36.21,53.45,37.93,44.83,41.38,37.93,43.1,50.0,44.83,50.0,43.1,50.0,46.55,46.55,53.45,46.55,53.45,55.17,43.1,55.17,44.83,55.17,50.0,53.45,44.83,51.72,53.45,53.45,50.0,53.45,46.55,55.17,56.9,55.17,53.45,50.0,55.17,50.0,53.45,53.45,44.83,55.17,55.17,46.55,51.72,50.0,53.45,56.9,55.17,43.1,62.07,56.9,55.17
6.67,13.33,13.33,30.0,20.0,30.0,23.33,23.33,36.67,23.33,40.0,30.0,36.67,36.67,33.33,33.33,40.0,33.33,46.67,26.67,40.0,43.33,36.67,40.0,36.67,43.33,53.33,50.0,36.67,50.0,36.67,50.0,43.33,46.67,46.67,46.67,46.67,46.67,43.33,43.33,40.0,60.0,43.33,50.0,56.67,40.0,43.33,50.0,60.0,46.67,50.0,53.33,50.0,50.0,46.67,56.67,43.33,43.33,43.33,50.0,56.67,53.33,63.33,50.0,36.67,46.67,46.67,46.67,56.67,46.67,46.67,53.33,66.67,50.0,46.67,50.0,50.0,53.33,50.0,56.67,53.33,50.0,46.67,53.33,50.0,50.0,53.33,53.33,50.0,53.33,53.33,53.33,50.0,56.67,50.0,50.0,50.0,53.33,53.33,46.67
