epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
9.82,9.82,12.5,29.91,40.18,41.07,42.41,41.96,46.43,45.54,48.66,47.77,49.11,48.21,46.88,52.68,50.45,53.12,52.68,55.36,50.0,55.36,54.91,59.82,53.57,56.25,58.04,54.91,56.25,57.14,60.71,58.48,56.25,61.16,55.8,62.05,61.61,58.93,61.16,58.04,57.14,59.82,60.27,61.61,58.04,62.05,58.93,62.5,60.71,61.16,62.95,62.05,61.16,63.84,62.05,64.29,61.61,59.38,64.73,63.39,64.29,65.18,63.84,63.84,61.61,58.48,64.29,63.39,61.61,62.5,60.71,60.27,64.29,63.39,61.61,61.16,60.71,63.84,65.62,62.05,64.29,64.73,62.95,61.61,65.18,64.29,58.04,65.18,65.62,64.73,64.73,63.84,66.96,64.73,63.39,65.18,64.29,66.07,64.29,66.07
8.42,8.42,15.79,33.68,43.16,45.26,44.74,50.53,50.0,53.16,56.84,64.74,54.21,62.11,59.47,67.37,60.53,62.63,64.74,71.58,67.89,67.37,72.11,68.42,67.89,68.95,69.47,65.79,70.0,70.0,74.21,75.26,75.26,73.16,73.68,74.21,74.74,76.84,74.21,76.32,74.21,76.32,75.79,81.05,74.74,77.89,72.63,77.89,79.47,73.68,74.74,75.79,77.37,79.47,81.05,79.47,74.21,74.74,77.89,73.16,79.47,75.79,78.42,80.0,75.26,82.63,81.05,81.05,80.53,81.05,74.21,74.74,79.47,77.89,75.79,75.79,81.58,77.89,81.05,76.32,79.47,77.89,79.47,77.89,76.32,78.95,75.79,76.32,81.05,81.05,78.95,74.74,78.42,79.47,79.47,79.47,76.84,79.47,77.89,79.47
8.62,8.62,8.62,24.14,31.03,24.14,27.59,29.31,29.31,29.31,31.03,37.93,31.03,41.38,34.48,46.55,44.83,31.03,34.48,36.21,39.66,39.66,37.93,43.1,43.1,36.21,43.1,37.93,37.93,46.55,44.83,41.38,44.83,48.28,43.1,48.28,43.1,46.55,41.38,37.93,43.1,43.1,53.45,55.17,44.83,51.72,51.72,46.55,51.72,48.28,50.0,50.0,44.83,55.17,41.38,44.83,48.28,51.72,56.9,58.62,50.0,55.17,55.17,53.45,50.0,50.0,53.45,51.72,51.72,51.72,55.17,50.0,58.62,67.24,53.45,55.17,51.72,53.45,56.9,53.45,56.9,55.17,55.17,60.34,56.9,62.07,48.28,50.0,51.72,50.0,56.9,60.34,56.9,63.79,62.07,67.24,68.97,65.52,63.79,63.79
13.33,13.33,13.33,33.33,30.0,30.0,33.33,33.33,30.0,33.33,30.0,26.67,30.0,30.0,43.33,40.0,36.67,36.67,40.0,40.0,36.67,40.0,43.33,40.0,40.0,46.67,40.0,36.67,30.0,56.67,46.67,33.33,43.33,40.0,36.67,60.0,46.67,46.67,46.67,43.33,36.67,46.67,50.0,56.67,36.67,46.67,56.67,46.67,63.33,60.0,50.0,50.0,43.33,56.67,43.33,46.67,53.33,60.0,56.67,56.67,50.0,66.67,56.67,53.33,36.67,50.0,43.33,46.67,43.33,50.0,53.33,56.67,56.67,63.33,53.33,46.67,46.67,56.67,53.33,50.0,56.67,53.33,53.33,56.67,56.67,50.0,50.0,50.0,50.0,60.0,56.67,53.33,60.0,63.33,60.0,60.0,60.0,60.0,60.0,63.33
